구,빈도수
강남구,91
중구,53
서초구,48
영등포구,42
종로구,39
송파구,37
마포구,36
강서구,27
용산구,23
서대문구,22
광진구,19
강동구,17
양천구,17
성북구,15
은평구,14
노원구,14
구로구,14
성동구,14
금천구,13
동대문구,13
관악구,12
동작구,11
중랑구,8
도봉구,7
강북구,6
